"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2015/6","PHYS08035","Mathematics for Physics 1",1,36,"E","Fail","82445f0c"
"2015/6","PHYS08036","Mathematics for Physics 2",1,8,"H","Fail","82445f0c"
"2016/7","PHYS08035","Mathematics for Physics 1",2,52,"C","2.2","82445f0c"
"2016/7","PHYS08036","Mathematics for Physics 2",2,48,"D","3rd","82445f0c"
"2014/5","MATH08057","Introduction to Linear Algebra",1,19,"G","Fail","ef490c1d"
"2014/5","MATH08058","Calculus and its Applications",1,0,"AN","AN","ef490c1d"
"2015/6","MATH08057","Introduction to Linear Algebra",1,16,"G","Fail","ef490c1d"
"2015/6","MATH08058","Calculus and its Applications",1,2,"H","Fail","ef490c1d"
"2015/6","MATH08057","Introduction to Linear Algebra",1,80,"A2","1st","d32c8001"
"2015/6","MATH08058","Calculus and its Applications",1,84,"A2","1st","d32c8001"
"2015/6","PHYS08035","Mathematics for Physics 1",1,73,"A3","1st","d32c8001"
"2015/6","PHYS08036","Mathematics for Physics 2",1,76,"A3","1st","d32c8001"
"2016/7","MATH08063","Several Variable Calculus and Differential Equations",1,72,"A3","1st","d32c8001"
"2016/7","MATH08066","Probability",1,66,"B","2.1","d32c8001"
"2016/7","MATH08071","Accelerated Proofs and Problem Solving",1,71,"A3","1st","d32c8001"
"2016/7","PHYS08035","Mathematics for Physics 1",1,66,"B","2.1","cb8609d1"
"2016/7","PHYS08036","Mathematics for Physics 2",1,53,"C","2.2","cb8609d1"
"2013/4","MATH08057","Introduction to Linear Algebra",1,46,"D","3rd","d60c3aad"
"2013/4","MATH08058","Calculus and its Applications",1,0,"AN","AN","d60c3aad"
"2013/4","MATH08058","Calculus and its Applications",2,47,"D","3rd","d60c3aad"
"2013/4","MATH08059","Proofs and Problem Solving",1,0,"AN","AN","d60c3aad"
"2013/4","MATH08059","Proofs and Problem Solving",2,59,"C","2.2","d60c3aad"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,46,"D","3rd","d60c3aad"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,50,"C","2.2","d60c3aad"
"2014/5","MATH08066","Probability",1,59,"C","2.2","d60c3aad"
"2016/7","MATH08065","Computing and Numerics",1,0,"WD","WD","d60c3aad"
"2016/7","MATH08072","Mathematics for the Natural Sciences 1a",1,43,"FF","FF","b46b9833"
"2016/7","MATH08073","Mathematics for the Natural Sciences 1b",2,6,"H","Fail","b46b9833"
"2013/4","MATH08058","Calculus and its Applications",1,0,"AN","AN","1ccea3a1"
"2013/4","PHYS08035","Mathematics for Physics 1",1,0,"AN","AN","2b9d7a9c"
"2013/4","PHYS08035","Mathematics for Physics 1",2,15,"G","Fail","2b9d7a9c"
"2013/4","PHYS08036","Mathematics for Physics 2",1,0,"AN","AN","2b9d7a9c"
"2013/4","PHYS08036","Mathematics for Physics 2",2,0,"AN","AN","2b9d7a9c"
"2014/5","PHYS08035","Mathematics for Physics 1",1,42,"D","3rd","2b9d7a9c"
"2014/5","PHYS08036","Mathematics for Physics 2",1,37,"E","Fail","2b9d7a9c"
"2014/5","PHYS08036","Mathematics for Physics 2",2,41,"D","3rd","2b9d7a9c"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,62,"B","2.1","a619fccb"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,76,"A3","1st","a619fccb"
"2014/5","MATH08065","Computing and Numerics",1,64,"B","2.1","a2f0727d"
"2013/4","MATH08057","Introduction to Linear Algebra",1,0,"AN","AN","61f9e7c5"
"2013/4","MATH08067","Probability with Applications",1,0,"AN","AN","61f9e7c5"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,48,"D","3rd","7e1a6595"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,67,"B","2.1","7e1a6595"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,44,"D","3rd","7f83c618"
"2017/8","MATH08074","Engineering Mathematics 1a",1,48,"D","3rd","5af11c79"
"2017/8","MATH08075","Engineering Mathematics 1b",1,42,"FF","FF","5af11c79"
"2013/4","MATH08068","Facets of Mathematics",1,51,"C","2.2","2fed42ca"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,35,"E","Fail","be39b638"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",2,41,"D","3rd","be39b638"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,13,"G","Fail","be39b638"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,13,"G","Fail","be39b638"
"2015/6","MATH08075","Engineering Mathematics 1b",1,41,"FF","FF","be39b638"
"2015/6","MATH08075","Engineering Mathematics 1b",2,51,"C","2.2","be39b638"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,32,"E","Fail","e5178a98"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",2,47,"D","3rd","e5178a98"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,8,"H","Fail","e5178a98"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,35,"E","Fail","e5178a98"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,40,"D","3rd","5b2a9d4c"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,68,"B","2.1","5b2a9d4c"
"2014/5","MATH08057","Introduction to Linear Algebra",1,24,"F","Fail","15ffd5bc"
"2014/5","MATH08058","Calculus and its Applications",1,52,"C","2.2","15ffd5bc"
"2013/4","PHYS08036","Mathematics for Physics 2",1,60,"B","2.1","59a114be"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,39,"E","Fail","bf6a7297"
"2013/4","MATH08065","Computing and Numerics",1,52,"C","2.2","bf6a7297"
"2013/4","MATH08066","Probability",1,64,"B","2.1","bf6a7297"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,60,"B","2.1","115879ad"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,49,"D","3rd","115879ad"
"2013/4","MATH08067","Probability with Applications",1,47,"D","3rd","115879ad"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,65,"B","2.1","6fd66ec8"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,37,"E","Fail","6fd66ec8"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,70,"A3","1st","6fd66ec8"
"2013/4","MATH08034","Mathematics for Elec/Mech Eng 4",1,0,"AN","AN","74c39e9c"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,47,"D","3rd","596fce3d"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,0,"AN","AN","bc2fe611"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,0,"AN","AN","bc2fe611"
"2014/5","MATH08062","Accelerated Algebra and Calculus for Direct Entry",1,79,"A3","1st","25f74a76"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,69,"B","2.1","25f74a76"
"2014/5","MATH08066","Probability",1,34,"E","Fail","25f74a76"
"2014/5","MATH08066","Probability",2,52,"C","2.2","25f74a76"
"2014/5","MATH08071","Accelerated Proofs and Problem Solving",1,55,"C","2.2","25f74a76"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,40,"D","3rd","4b8188ad"
"2015/6","PHYS08035","Mathematics for Physics 1",1,6,"H","Fail","40db2fe"
"2015/6","PHYS08036","Mathematics for Physics 2",1,0,"AN","AN","40db2fe"
"2015/6","PHYS08036","Mathematics for Physics 2",2,0,"AN","AN","40db2fe"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,58,"C","2.2","c898a1d0"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,70,"A3","1st","17feea0c"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,51,"C","2.2","17feea0c"
"2013/4","MATH08065","Computing and Numerics",1,81,"A2","1st","17feea0c"
"2013/4","MATH08066","Probability",1,65,"B","2.1","17feea0c"
"2013/4","MATH08051","Statistics (Year 2)",1,19,"G","Fail","50913a8e"
"2013/4","MATH08051","Statistics (Year 2)",2,29,"F","Fail","50913a8e"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,30,"E","Fail","50913a8e"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",2,34,"E","Fail","50913a8e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,23,"F","Fail","50913a8e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,51,"C","2.2","50913a8e"
"2013/4","MATH08065","Computing and Numerics",1,0,"AN","AN","50913a8e"
"2013/4","MATH08066","Probability",1,37,"E","Fail","50913a8e"
"2013/4","MATH08066","Probability",2,41,"D","3rd","50913a8e"
"2014/5","MATH08051","Statistics (Year 2)",1,43,"D","3rd","50913a8e"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,60,"B","2.1","50913a8e"
"2014/5","MATH08065","Computing and Numerics",1,44,"D","3rd","50913a8e"
"2013/4","MATH08066","Probability",1,44,"D","3rd","6880a297"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,38,"E","Fail","3e517f2a"
"2013/4","PHYS08036","Mathematics for Physics 2",1,30,"E","Fail","ee9dd5a7"
"2013/4","PHYS08036","Mathematics for Physics 2",2,45,"D","3rd","ee9dd5a7"
"2013/4","MATH08057","Introduction to Linear Algebra",1,6,"H","Fail","db13494c"
"2013/4","MATH08057","Introduction to Linear Algebra",2,5,"H","Fail","db13494c"
"2013/4","MATH08058","Calculus and its Applications",1,2,"H","Fail","db13494c"
"2013/4","MATH08058","Calculus and its Applications",2,6,"H","Fail","db13494c"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,57,"C","2.2","27a28459"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,12,"G","Fail","27a28459"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,35,"E","Fail","27a28459"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,0,"AN","AN","27a28459"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",2,8,"H","Fail","27a28459"
"2013/4","MATH08051","Statistics (Year 2)",1,49,"D","3rd","7ddda11b"
"2013/4","MATH08059","Proofs and Problem Solving",1,55,"C","2.2","7ddda11b"
"2013/4","MATH08062","Accelerated Algebra and Calculus for Direct Entry",1,64,"B","2.1","7ddda11b"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,65,"B","2.1","7ddda11b"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,44,"FF","FF","7ddda11b"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,68,"B","2.1","7ddda11b"
"2013/4","MATH08065","Computing and Numerics",1,73,"A3","1st","7ddda11b"
"2013/4","MATH08066","Probability",1,24,"F","Fail","7ddda11b"
"2013/4","MATH08066","Probability",2,38,"E","Fail","7ddda11b"
"2013/4","MATH08068","Facets of Mathematics",1,58,"C","2.2","7ddda11b"
"2014/5","MATH08066","Probability",1,46,"FF","FF","7ddda11b"
"2014/5","MATH08066","Probability",2,80,"A2","1st","7ddda11b"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,35,"E","Fail","a4535bc1"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,56,"C","2.2","a4535bc1"
"2013/4","MATH08067","Probability with Applications",1,25,"F","Fail","5f80a369"
"2013/4","MATH08067","Probability with Applications",2,44,"D","3rd","5f80a369"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,74,"A3","1st","51d04b3c"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,52,"C","2.2","51d04b3c"
"2014/5","MATH08051","Statistics (Year 2)",1,50,"C","2.2","7e21f0ff"
"2014/5","MATH08062","Accelerated Algebra and Calculus for Direct Entry",1,87,"A2","1st","7e21f0ff"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,54,"C","2.2","7e21f0ff"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,64,"B","2.1","7e21f0ff"
"2014/5","MATH08065","Computing and Numerics",1,68,"B","2.1","7e21f0ff"
"2014/5","MATH08066","Probability",1,47,"D","3rd","7e21f0ff"
"2014/5","MATH08071","Accelerated Proofs and Problem Solving",1,81,"A2","1st","7e21f0ff"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,80,"A2","1st","f66ef1bf"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,76,"A3","1st","f66ef1bf"
"2013/4","MATH08067","Probability with Applications",1,78,"A3","1st","f66ef1bf"
"2013/4","MATH08071","Accelerated Proofs and Problem Solving",1,85,"A2","1st","f66ef1bf"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,80,"A2","1st","4256c49a"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,74,"A3","1st","4256c49a"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,71,"A3","1st","dea358cb"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,71,"A3","1st","dea358cb"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,81,"A2","1st","86350fde"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,69,"B","2.1","86350fde"
"2013/4","MATH08065","Computing and Numerics",1,58,"C","2.2","86350fde"
"2013/4","MATH08066","Probability",1,72,"A3","1st","86350fde"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,42,"FF","FF","f37d036c"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,22,"F","Fail","f37d036c"
"2013/4","MATH08067","Probability with Applications",1,43,"FF","FF","47e4d3cb"
"2013/4","MATH08067","Probability with Applications",2,89,"A2","1st","47e4d3cb"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,0,"AN","AN","689fb3b7"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,20,"F","Fail","689fb3b7"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,66,"B","2.1","e1a32f2a"
"2014/5","MATH08057","Introduction to Linear Algebra",1,36,"E","Fail","f919d636"
"2014/5","MATH08058","Calculus and its Applications",1,0,"WD","WD","f919d636"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,43,"FF","FF","97b68f62"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",2,83,"A2","1st","97b68f62"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,79,"A3","1st","97b68f62"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,44,"D","3rd","c16752df"
"2015/6","MATH08072","Mathematics for the Natural Sciences 1a",1,64,"B","2.1","f0a2bcf6"
"2015/6","MATH08073","Mathematics for the Natural Sciences 1b",1,53,"C","2.2","f0a2bcf6"
"2014/5","MATH08057","Introduction to Linear Algebra",1,76,"A3","1st","74150902"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,46,"D","3rd","11fe58e1"
"2013/4","MATH08067","Probability with Applications",1,7,"H","Fail","3e24dd1f"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,57,"C","2.2","31ec4784"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,37,"E","Fail","31ec4784"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,29,"F","Fail","31ec4784"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,64,"B","2.1","613578f8"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,47,"D","3rd","613578f8"
"2013/4","MATH08051","Statistics (Year 2)",1,45,"D","3rd","390d3370"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,33,"E","Fail","390d3370"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,48,"D","3rd","390d3370"
"2013/4","PHYS08036","Mathematics for Physics 2",1,35,"E","Fail","28355389"
"2014/5","PHYS08036","Mathematics for Physics 2",1,0,"AN","AN","28355389"
"2014/5","PHYS08036","Mathematics for Physics 2",2,45,"D","3rd","28355389"
"2013/4","MATH08061","Mathematics for Science and Engineering 1b",1,23,"F","Fail","43b028da"
"2013/4","MATH08061","Mathematics for Science and Engineering 1b",2,33,"E","Fail","43b028da"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,22,"F","Fail","43b028da"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,10,"G","Fail","43b028da"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,13,"G","Fail","43b028da"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,39,"E","Fail","b6607817"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,71,"A3","1st","6829b4a7"
"2013/4","MATH08051","Statistics (Year 2)",1,22,"F","Fail","6aa8485e"
"2013/4","MATH08051","Statistics (Year 2)",2,34,"E","Fail","6aa8485e"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,58,"C","2.2","6aa8485e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,40,"D","3rd","6aa8485e"
"2013/4","MATH08065","Computing and Numerics",1,56,"C","2.2","6aa8485e"
"2013/4","MATH08066","Probability",1,57,"C","2.2","6aa8485e"
"2013/4","MATH08068","Facets of Mathematics",1,54,"C","2.2","6aa8485e"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,48,"D","3rd","1980a8ec"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,47,"D","3rd","2285d9f8"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,0,"WD","WD","2285d9f8"
"2013/4","MATH08065","Computing and Numerics",1,0,"WD","WD","2285d9f8"
"2013/4","MATH08068","Facets of Mathematics",1,37,"E","Fail","2285d9f8"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,44,"D","3rd","2ba5eaf9"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,60,"B","2.1","d22e7527"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,63,"B","2.1","d22e7527"
"2013/4","MATH08057","Introduction to Linear Algebra",1,0,"WD","WD","2aebfaa7"
"2013/4","MATH08058","Calculus and its Applications",1,0,"WD","WD","2aebfaa7"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,32,"E","Fail","16d71510"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,51,"C","2.2","7e887e3c"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,27,"F","Fail","7e887e3c"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,24,"F","Fail","7e887e3c"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,82,"A2","1st","b7400664"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,68,"B","2.1","b7400664"
"2014/5","MATH08062","Accelerated Algebra and Calculus for Direct Entry",1,68,"B","2.1","3207cf9f"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,60,"B","2.1","3207cf9f"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,51,"C","2.2","3207cf9f"
"2014/5","MATH08065","Computing and Numerics",1,45,"D","3rd","3207cf9f"
"2014/5","MATH08067","Probability with Applications",1,50,"C","2.2","3207cf9f"
"2014/5","MATH08071","Accelerated Proofs and Problem Solving",1,52,"C","2.2","3207cf9f"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,83,"A2","1st","2f59edf6"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,43,"D","3rd","65a6c099"
"2013/4","MATH08051","Statistics (Year 2)",1,50,"C","2.2","75bce3a8"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,57,"C","2.2","75bce3a8"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,40,"FF","FF","75bce3a8"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,50,"C","2.2","75bce3a8"
"2013/4","MATH08065","Computing and Numerics",1,46,"D","3rd","75bce3a8"
"2013/4","MATH08066","Probability",1,50,"C","2.2","75bce3a8"
"2013/4","MATH08051","Statistics (Year 2)",1,46,"D","3rd","7f007c3e"
"2013/4","MATH08059","Proofs and Problem Solving",1,41,"D","3rd","7f007c3e"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,63,"B","2.1","7f007c3e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,26,"F","Fail","7f007c3e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,42,"D","3rd","7f007c3e"
"2013/4","MATH08066","Probability",1,46,"D","3rd","7f007c3e"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,53,"C","2.2","3b89e003"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,29,"F","Fail","3b89e003"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,33,"E","Fail","3b89e003"
"2013/4","MATH08051","Statistics (Year 2)",1,41,"D","3rd","fe88934"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,47,"D","3rd","fe88934"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,52,"C","2.2","fe88934"
"2013/4","MATH08065","Computing and Numerics",1,76,"A3","1st","fe88934"
"2013/4","MATH08066","Probability",1,51,"C","2.2","fe88934"
"2013/4","MATH08068","Facets of Mathematics",1,62,"B","2.1","fe88934"
"2013/4","MATH08067","Probability with Applications",1,77,"A3","1st","a6559bd2"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,19,"G","Fail","55d682c0"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",2,67,"B","2.1","55d682c0"
"2013/4","MATH08067","Probability with Applications",1,17,"G","Fail","5e4b11f8"
"2013/4","MATH08067","Probability with Applications",2,66,"B","2.1","5e4b11f8"
"2013/4","MATH08067","Probability with Applications",1,32,"E","Fail","eeb46d23"
"2013/4","MATH08067","Probability with Applications",2,77,"A3","1st","eeb46d23"
"2013/4","MATH08057","Introduction to Linear Algebra",1,31,"E","Fail","49976ee2"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,50,"C","2.2","8a579076"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,33,"E","Fail","8a579076"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,48,"D","3rd","8a579076"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,79,"A3","1st","48027b16"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,74,"A3","1st","48027b16"
"2013/4","MATH08051","Statistics (Year 2)",1,50,"C","2.2","5c13768e"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,63,"B","2.1","5c13768e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,44,"FF","FF","5c13768e"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,46,"D","3rd","5c13768e"
"2013/4","MATH08065","Computing and Numerics",1,86,"A2","1st","5c13768e"
"2013/4","MATH08066","Probability",1,56,"C","2.2","5c13768e"
"2013/4","MATH08068","Facets of Mathematics",1,62,"B","2.1","5c13768e"
"2013/4","MATH08057","Introduction to Linear Algebra",1,45,"D","3rd","a0b05572"
"2013/4","MATH08058","Calculus and its Applications",1,40,"D","3rd","a0b05572"
"2014/5","MATH08067","Probability with Applications",1,26,"F","Fail","a0b05572"
"2013/4","MATH08061","Mathematics for Science and Engineering 1b",1,0,"AN","AN","e12301f1"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,5,"H","Fail","e12301f1"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,0,"AN","AN","e12301f1"
"2013/4","MATH08058","Calculus and its Applications",1,48,"D","3rd","f6b9c203"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,82,"A2","1st","e8f30967"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,67,"B","2.1","e8f30967"
"2013/4","MATH08066","Probability",1,50,"C","2.2","e8f30967"
"2013/4","MATH08051","Statistics (Year 2)",1,46,"D","3rd","47827539"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,73,"A3","1st","47827539"
"2013/4","MATH08066","Probability",1,66,"B","2.1","47827539"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,46,"D","3rd","ff7c364d"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,52,"C","2.2","ff7c364d"
"2013/4","MATH08057","Introduction to Linear Algebra",1,62,"B","2.1","1d0c1931"
"2013/4","MATH08058","Calculus and its Applications",1,79,"A3","1st","1d0c1931"
"2013/4","MATH08057","Introduction to Linear Algebra",1,42,"D","3rd","8f2e175"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,0,"AN","AN","2a252024"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",2,24,"F","Fail","2a252024"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,27,"F","Fail","2a252024"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",2,32,"E","Fail","2a252024"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,15,"G","Fail","2a252024"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",2,33,"E","Fail","2a252024"
"2013/4","MATH08067","Probability with Applications",1,0,"AN","AN","f791d731"
"2013/4","MATH08060","Mathematics for Science and Engineering 1a",1,25,"F","Fail","76ba5fb"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,63,"B","2.1","6d8bf0cb"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,63,"B","2.1","6d8bf0cb"
"2013/4","MATH08058","Calculus and its Applications",1,68,"B","2.1","e38aafa2"
"2013/4","MATH08051","Statistics (Year 2)",1,22,"F","Fail","768e7053"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,17,"G","Fail","768e7053"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",2,42,"D","3rd","768e7053"
"2013/4","MATH08064","Fundamentals of Pure Mathematics",1,42,"D","3rd","768e7053"
"2013/4","MATH08065","Computing and Numerics",1,58,"C","2.2","768e7053"
"2013/4","MATH08066","Probability",1,52,"C","2.2","768e7053"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,21,"F","Fail","768e7053"
"2014/5","PHYS08035","Mathematics for Physics 1",1,55,"C","2.2","768e7053"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,71,"A3","1st","799f7147"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,49,"D","3rd","799f7147"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,39,"E","Fail","f8ce81e3"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",2,72,"A3","1st","f8ce81e3"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,6,"H","Fail","f8ce81e3"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",2,55,"C","2.2","f8ce81e3"
"2013/4","MATH08060","Mathematics for Science and Engineering 1a",1,63,"B","2.1","4074e05a"
"2013/4","MATH08061","Mathematics for Science and Engineering 1b",1,37,"E","Fail","4074e05a"
"2013/4","MATH08061","Mathematics for Science and Engineering 1b",2,56,"C","2.2","4074e05a"
"2013/4","MATH08058","Calculus and its Applications",1,81,"A2","1st","12ba3ed5"
"2013/4","MATH08067","Probability with Applications",1,3,"H","Fail","a401692c"
"2014/5","MATH08067","Probability with Applications",1,27,"F","Fail","a401692c"
"2014/5","MATH08067","Probability with Applications",2,29,"F","Fail","a401692c"
"2013/4","MATH08067","Probability with Applications",1,93,"A1","1st","88c1e3e0"
"2013/4","MATH08051","Statistics (Year 2)",1,41,"D","3rd","dda290"
"2013/4","MATH08063","Several Variable Calculus and Differential Equations",1,89,"A2","1st","dda290"
"2013/4","MATH08066","Probability",1,10,"G","Fail","ce80c6d3"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,63,"B","2.1","29683271"
"2013/4","MATH08069","Mathematics for Science and Engineering 2a",1,77,"A3","1st","2939cf95"
"2013/4","MATH08070","Mathematics for Science and Engineering 2b",1,62,"B","2.1","2939cf95"
